"REGION","SUB_REGION","DISTRICT","SUBCOUNTY","NAME","UID","COORDINATES","OPERATIONAL STATUS","FACILITY_LEVEL","OWNERSHIP_NAME","AUTHORITY_NAME"
"Central Region","Kampala","Kampala District","Nakawa Division","Bethany Childrens Clinic HC II","IE9Ncxz058U","""""","Functional","HC II","PFP","Private"
"Eastern Region","Busoga","Iganga District","Northern Division (Iganga MC)","Bethany HC II","Zc2dx1uKbB4","""""","Functional","HC II","PNFP","UPMB"
"Central Region","Kampala","Kampala District","Nakawa Division","Bethany Womens and Family HC III","GIBdXqBaa89","""""","Functional","HC III","PFP","Private"
"Central Region","South Central","Wakiso District","Nansana Division","Bethel Day Care Clinic HC II","QpOgpdLWcPv","""""","","HC II","PFP","Private"
"Central Region","South Central","Kyotera District","Nabigasa Subcounty","Bethelem Community Maternity Home","gaqWCpbUzaJ","""""","Functional","HC II","PFP","Private"
"Central Region","South Central","Kyotera District","Nabigasa Subcounty","Bethelem Community Nursing Home Clinic","UbUqRLD1RnZ","""""","Functional","Clinic","PFP","Private"
"Central Region","Kampala","Kampala District","Makindye Division","Bethelem Medical Clinic HC II","Q9yfothwD3b","""""","Non-Functional","HC II","PFP","Private"
"Northern Region","Lango","Oyam District","Iceme Town Council","Bethel Medical Centre HC II","uyWHBDNJ3QC","""""","Functional","HC II","PFP","Private"
"Central Region","South Central","Wakiso District","Kira Division","Bethel Medical Clinic HC II","CASdjG1Nx4K","""""","Functional","HC II","PFP","Private"
"Central Region","Kampala","Kampala District","Kawempe Division","Bethel Medical Consult Clinic HC II","NQoWOqx4uqu","""""","Functional","HC II","PFP","Private"
"Central Region","Kampala","Kampala District","Kawempe Division","Bethesda (Kawempe) Hospital","galXSDZuJpT","""""","Functional","Hospital","PFP","Private"
"Central Region","Kampala","Kampala District","Central Division (Kampala CCA)","Bethesda Medical Centre HC III","MWFDoq84Xp5","""""","Functional","HC III","PNFP","CBO"
"Eastern Region","Teso","Soroti District","Western Division (Soroti MC)","Bethesda (Soroti) Hospital ","OOTHJd11Kqy","""""","Functional","Hospital","PFP","Private"
"Central Region","South Central","Kyotera District","Nabigasa Subcounty","Bethlehem HC II","SbullIVi7Kc","{""type"": ""Point"", ""coordinates"": [31.4637, -0.58275]}","Functional","HC II","GOV","MOH"
"Central Region","South Central","Wakiso District","Massajja Division","Better Care Clinic HC II","oiOKghI7paV","""""","","HC II","PFP","Private"
"Central Region","Kampala","Kampala District","Kawempe Division","Better Life Clinic HC II","GGpmrGLkcJi","""""","Functional","HC II","PNFP","CBO"
"Western Region","Ankole","Ibanda District","Kagongo Division","Better Living Domicilliary Clinic","s4Qgr3LiCaK","""""","Non-Functional","Clinic","PFP","Private"
"Western Region","Ankole","Buhweju District","Rubengye Subcounty","Beverly HC II","kR6RZOJffVY","""""","Functional","HC II","PNFP","NGO"
"Central Region","South Central","Wakiso District","Nabweru Division","Bf Family Medical Clinic HC II","ulATjcYo55p","""""","Functional","HC II","PFP","Private"
"Central Region","Kampala","Kampala District","Rubaga Division","Bfk Care Clinic HC II","dJaNcyPPwbM","""""","Functional","HC II","PFP","Private"
"Northern Region","Lango","Apac District","Akere Division","Biashara HC II","ai4gKqwJDeC","{""type"": ""Point"", ""coordinates"": [32.52923, 1.98255]}","Functional","HC II","GOV","MOH"
"Northern Region","Acholi","Amuru District","Elegu Town Council","Bibia HC III","N00TPmBoIls","{""type"": ""Point"", ""coordinates"": [32.078242, 3.481146]}","Functional","HC III","GOV","MOH"
"Central Region","North Central","Nakaseke District","Kasangombe Subcounty","Bidabuja HC III","YTCehe1KMvF","{""type"": ""Point"", ""coordinates"": [32.4356, 0.73524]}","Functional","HC III","GOV","MOH"
"Northern Region","West Nile","Yumbe District","Romogi Subcounty","Bidibidi Health Centre HC III","dHp8jtq8Q6v","""""","Functional","HC III","GOV","MOH"
"Northern Region","West Nile","Yumbe District","Romogi Subcounty","Bidi Bidi  Prison HC II","WesT5GAXGF1","""""","Functional","HC II","","UPS"
"Western Region","Kigezi","Rukungiri District","Nyakagyeme Subcounty","Bigaaga HC II","MGz2wiacJ0H","{""type"": ""Point"", ""coordinates"": [29.836157, -0.785085]}","Non-Functional","HC II","PNFP","Private"
"Central Region","South Central","Bukomansimbi District","Bigasa Subcounty","Bigasa HC III","HW6fE9RYBjI","{""type"": ""Point"", ""coordinates"": [31.62646, -0.08727]}","Functional","HC III","GOV","MOH"
"Central Region","South Central","Bukomansimbi District","Bigasa Subcounty","Bigasa Prison Clinic","hnDCZkHHZhx","""""","Functional","HC II","","UPS"
"Central Region","Kampala","Kampala District","Central Division (Kampala CCA)","Bigo Dental Clinic HC II","LkJjMw6F3Es","""""","Functional","HC II","PFP","Private"
"Western Region","Tooro","Kamwenge District","Bigodi Town Council","Bigodi HC III","d3ugFJbENWb","{""type"": ""Point"", ""coordinates"": [30.40955, 0.403203]}","Functional","HC III","GOV","MOH"
"Western Region","Tooro","Kamwenge District","Bigodi Town Council","","K1DcbS0cac2","""""","","","",""
"Western Region","Ankole","Sheema District","Rugarama Subcounty (Sheema District)","Bigona HC II","arxX2Sx69qM","{""type"": ""Point"", ""coordinates"": [30.29764, -0.72144]}","Functional","HC II","GOV","MOH"
"Western Region","Tooro","Kamwenge District","Biguli Subcounty","Biguli HC III","Sg3h27N489f","""""","Functional","HC III","GOV","MOH"
"Western Region","Tooro","Kamwenge District","Biguli Subcounty","Biguli Medical Centre","jUJbnOcTaJS","""""","Functional","HC II","PFP","Private"
"Western Region","Kigezi","Rubanda District","Nyamweru Subcounty","Bigungiro HC II","oZVIABxg51n","{""type"": ""Point"", ""coordinates"": [29.99966, -1.20885]}","Functional","HC II","GOV","MOH"
"Western Region","Ankole","Ibanda District","Bisheshe Division","Bigyera HC II","WsIQqOuUy8N","""""","Functional","HC II","PNFP","UPMB"
"Western Region","Tooro","Kamwenge District","Bihanga Subcounty (Kamwenge District)","Bihanga HC II","rQkhTj9VFoS","""""","Functional","HC II","GOV","MOH"
"Western Region","Ankole","Buhweju District","Bihanga Subcounty (Buhweju District)","Bihanga HC III","Fi6rNyCYxsL","{""type"": ""Point"", ""coordinates"": [30.35651, -0.32842]}","Functional","HC III","GOV","MOH"
"Western Region","Ankole","Ibanda District","Nyamarebe Subcounty","Bihanga UPDF Barracks HC II","k58XY2uVEjN","{""type"": ""Point"", ""coordinates"": [30.57051, 0.05065]}","Functional","HC II","GOV","UPDF"
"Western Region","Ankole","Mbarara District","Biharwe Subcounty","Biharwe (Nyabuhama) HC III","hAdnePvF54E","{""type"": ""Point"", ""coordinates"": [30.73407, -0.52566]}","Functional","HC III","GOV","MOH"
"Western Region","Ankole","Mbarara District","Biharwe Subcounty","Biharwe St Johns HC II","X4fBqyPx4Er","{""type"": ""Point"", ""coordinates"": [30.71577, -0.53119]}","Functional","HC II","PNFP","NGO"
"Western Region","Kigezi","Kanungu District","Kihihi Town Council","Bihomborwa HC II","q2FFBYtzNoo","{""type"": ""Point"", ""coordinates"": [29.67307, -0.78152]}","Functional","HC II","GOV","MOH"
"Western Region","Bunyoro","Buliisa District","Biiso Subcounty","Biiso HC IV","EPMb6dGjqnz","{""type"": ""Point"", ""coordinates"": [31.41986, 1.7609]}","Functional","HC III","GOV","MOH"
"Western Region","Bunyoro","Buliisa District","Biiso Subcounty","Biiso Prison Clinic","gblhiMWyc1S","""""","Functional","HC II","","UPS"
"Western Region","Bunyoro","Masindi District","Nyangahya Division","Biizi HC II","SpmGH121j45","{""type"": ""Point"", ""coordinates"": [31.746864, 1.640946]}","Functional","HC II","GOV","MOH"
"Northern Region","Lango","Amolatar District","Namasale Town Council","Biko HC II","gK0K0TF0Nci","{""type"": ""Point"", ""coordinates"": [32.6384, 1.50636]}","Functional","HC II","GOV","MOH"
"Western Region","Tooro","Kasese District","Maliba Subcounty","Bikone HC II","fr6GkKfY2W7","{""type"": ""Point"", ""coordinates"": [30.06674, 0.34957]}","Functional","HC II","GOV","MOH"
"Western Region","Kigezi","Rukungiri District","Kebisoni Subcounty","Bikungu HC II","ivMQpg69xwD","{""type"": ""Point"", ""coordinates"": [29.908599, -0.828205]}","Functional","HC II","GOV","MOH"
"Western Region","Tooro","Kasese District","Karambi Bukonzo Subcounty","Bikunya HC II","a3m0qvTckjd","{""type"": ""Point"", ""coordinates"": [29.75458, 0.07857]}","Functional","HC II","GOV","MOH"
"Western Region","Kigezi","Rukungiri District","Bikurungu Town Council","Bikurungu HC III","gbBl9ETEePr","{""type"": ""Point"", ""coordinates"": [29.84193, -0.64328]}","Functional","HC III","GOV","MOH"
"Northern Region","West Nile","Terego District","Uriama Subcounty","Bileafe HC III","VUB4COm63ZQ","{""type"": ""Point"", ""coordinates"": [31.08472, 3.10622]}","Functional","HC III","GOV","MOH"
"Western Region","Tooro","Ntoroko District","Karugutu Town Council","Bimc HC II","Oluz9KryEyt","""""","Functional","HC II","PFP","Private"
"Eastern Region","Bukedi","Butaleja District","Nawanjofu Subcounty","Bingo HC II","jdsHBxA3VOE","{""type"": ""Point"", ""coordinates"": [33.87391, 0.91121]}","Functional","HC II","GOV","MOH"
"Northern Region","Acholi","Omoro District","Odek Subcounty","Binya HC II","aGQqkkQQzXc","{""type"": ""Point"", ""coordinates"": [32.66573, 2.74754]}","Functional","HC II","GOV","MOH"
"Eastern Region","Bugisu","Kween District","Binyiny Town Council","Binyiny HC III","aVlOVOmBP2K","{""type"": ""Point"", ""coordinates"": [34.53367, 1.41977]}","Functional","HC III","GOV","MOH"
"Central Region","Kampala","Kampala District","Central Division (Kampala CCA)","Bio Eye Specialists HC III","lPRCSoRmZMu","""""","Functional","HC III","PFP","Private"
"Central Region","Kampala","Kampala District","Makindye Division","Biorex Medical Services HC II","qaASxmxnCUG","""""","Functional","HC II","PFP","Private"
"Northern Region","Acholi","Amuru District","Pabbo Subcounty","Bira HC II","UDIcZADBS92","{""type"": ""Point"", ""coordinates"": [31.87305, 2.88152]}","Functional","HC II","GOV","MOH"
"Northern Region","West Nile","Adjumani District","Pakele Subcounty","Bira HC III","atv0z4e9m8B","{""type"": ""Point"", ""coordinates"": [31.87196, 3.31557]}","Functional","HC III","PNFP","Private"
"Western Region","Bunyoro","Kakumiro District","Birembo Subcounty","Birembo HC III","p5uDISee6z5","""""","Functional","HC III","GOV","MOH"
"Central Region","South Central","Lwengo District","Lwengo Subcounty","Birimuye HC II","los6g36at8x","""""","Functional","HC II","PFP","Private"
"Western Region","Ankole","Ibanda District","Kijongo Subcounty","Birongo HC II","xTTc0XQndvv","{""type"": ""Point"", ""coordinates"": [30.42818, 0.00787]}","Functional","HC II","GOV","MOH"
"Western Region","Ankole","Isingiro District","Rugaaga Subcounty","Birunduma HC II","AUW1cjIB5uQ","{""type"": ""Point"", ""coordinates"": [31.06269, -0.79812]}","Functional","HC II","GOV","MOH"
"Western Region","Ankole","Ibanda District","Bisheshe Division","Bisheshe HC III","iChSz9sMebA","{""type"": ""Point"", ""coordinates"": [30.488537, -0.051737]}","Functional","HC III","GOV","MOH"
"Central Region","North Central","Luwero District","Luwero Town Council","Bishop Ascili Hospital","adofLhuj4HH","{""type"": ""Point"", ""coordinates"": [32.66096, 0.663464]}","Functional","Hospital","PNFP","UCMB"
"Western Region","Tooro","Kasese District","Central Division (Kasese MC)","Bishop Masereka Christian Foundation HC IV","aMrVtjXDAOU","{""type"": ""Point"", ""coordinates"": [30.07868, 0.17419]}","Non-Functional","HC IV","PNFP","Private"
"Western Region","Kigezi","Kanungu District","Kanungu Town Council","Bishop Mazzoldi HC II","tYeqWpugDwu","{""type"": ""Point"", ""coordinates"": [29.7788, -0.86978]}","Functional","HC II","GOV","MOH"
"Eastern Region","Teso","Katakwi District","Ngariam Subcounty","Bisina HC II","HhXrRF3LWHT","{""type"": ""Point"", ""coordinates"": [34.06698, 1.8535]}","Functional","HC II","GOV","MOH"
"Central Region","South Central","Wakiso District","Bunamwaya Division","Bisirikirwa Medical Centre","e7FvMpJ8EHb","""""","Functional","HC II","PFP","Private"
"Central Region","Kampala","Kampala District","Rubaga Division","Bismillah Ks Nakyanzi Medical Centre HC II","fmWt71GoII7","""""","Functional","HC II","PFP","Private"
"Eastern Region","Bukedi","Tororo District","Western Division (Tororo MC)","Bison HC III","aZep2aolzmX","{""type"": ""Point"", ""coordinates"": [34.1778, 0.70426]}","Functional","HC III","GOV","MOH"
"Western Region","Tooro","Kamwenge District","Nkoma Subcounty","Bisozi HC IV","fmOyV8pzi6m","""""","Functional","HC IV","GOV","MOH"
"Central Region","South Central","Rakai District","Lwanda Subcounty","Bitabago HC II","D1FqsDMWIeq","{""type"": ""Point"", ""coordinates"": [31.43938, -0.69232]}","Functional","HC II","PFP","Private"
"Western Region","Ankole","Mitooma District","Bitereko Subcounty","Bitereko HC III","aumCjLAHfAL","{""type"": ""Point"", ""coordinates"": [29.97077, -0.56562]}","Functional","HC III","GOV","MOH"
"Western Region","Ankole","Bushenyi District","Bitooma Subcounty","Bitooma HC III","IgKXuBYXQFl","{""type"": ""Point"", ""coordinates"": [30.17492, -0.42534]}","Functional","HC III","PNFP","UCMB"
"Western Region","Ankole","Buhweju District","Bitsya Subcounty","Bitsya HC II","EqekiAuWsDE","{""type"": ""Point"", ""coordinates"": [30.44231, -0.35558]}","Functional","HC II","GOV","MOH"
"Central Region","Kampala","Kampala District","Central Division (Kampala CCA)","Biva Maternity and Heath Clinic HC III","asImgkBNZRh","""""","Functional","HC III","PFP","Private"
"Central Region","Kampala","Kampala District","Rubaga Division","Biva Medical Centre HC II","E48nC3sLCuS","""""","Functional","HC II","PFP","Private"
"Eastern Region","Busoga","Namayingo District","Lolwe Subcounty","Biwihi HC II","y6p5eLimu2C","""""","Functional","HC II","GOV","MOH"
"Central Region","Kampala","Kampala District","Rubaga Division","Biyinzika Clinic HC II","wx932ocnkRb","{""type"": ""Point"", ""coordinates"": [32.521524, 0.314146]}","Functional","HC II","PFP","Private"
"Central Region","Kampala","Kampala District","Kawempe Division","B.J Medical Clinic. HC II","kvUDYZNXioX","""""","Functional","HC II","PFP","Private"
"Central Region","Kampala","Kampala District","Kawempe Division","Bk Clinic HC II","tfbLioVvAXt","""""","Functional","HC II","PFP","Private"
"Western Region","Bunyoro","Kiryandongo District","Bweyale Town Council","Bk Community Clinic","MQpuz4h5Hf1","""""","Functional","Clinic","PFP","Private"
"Central Region","North Central","Kayunga District","Kayunga Town Council","Bk Life Care Clinic","IE6tqozkgow","""""","Functional","Clinic","PFP","Private"
"Central Region","Kampala","Kampala District","Kawempe Division","B L Clinic HC II","CBxVVMTaaN2","""""","Functional","HC II","PFP","Private"
"Central Region","Kampala","Kampala District","Kawempe Division","Blessed Clinic (Bwaise II) HC II","k6xMJILqFNN","""""","Functional","HC II","PFP","Private"
"Central Region","Kampala","Kampala District","Rubaga Division","Blessed Clinic HC II","sdxoxui7C7K","""""","Functional","HC II","PFP","Private"
"Central Region","Kampala","Kampala District","Kawempe Division","Blessed Clinic (Kazo Angola) HC II","PJMCvMuN10z","""""","Functional","HC II","PFP","Private"
"Central Region","South Central","Wakiso District","Massajja Division","Blessed Clinic Masajja HC II","zd6dc01leUn","""""","","HC II","PFP","Private"
"Central Region","Kampala","Kampala District","Nakawa Division","Blessed Clinic (Ntinda) HC II","swTa8NTQIYI","""""","Functional","HC II","PFP","Private"
"Central Region","North Central","Mukono District","Nakisunga Subcounty","Blessed Health Centre Lubugumu Clinic","drONq8wZs7Y","""""","Functional","Clinic","PFP","Private"
"Central Region","Kampala","Kampala District","Makindye Division","Blessed Medical Care HC II","ER8zxQKmEvo","""""","Non-Functional","HC II","PFP","Private"
"Northern Region","Lango","Dokolo District","Adeknino Subcounty","Blessed Medical Center","cbQ39LEDKca","""""","Functional","","PFP","CBO"
"Central Region","Kampala","Kampala District","Nakawa Division","Blessed Medical Center HC II","Ss0JE8RxN25","""""","Functional","HC II","PFP","Private"
"Central Region","Kampala","Kampala District","Rubaga Division","Blessed Medical Clinic (Kasubi) HC II","FC1pyCmRZU4","""""","Functional","HC II","PFP","Private"
"Central Region","Kampala","Kampala District","Makindye Division","Blessed Medical Clinic (Salaama) HC II","GewiJs6rpti","""""","Non-Functional","HC II","PFP","Private"
"Central Region","Kampala","Kampala District","Nakawa Division","Blessing Clinic HC II","uS3JEto2Edj","""""","Functional","HC II","PFP","Private"
"Central Region","North Central","Kayunga District","Kayunga Town Council","Blessing Med. Clinic","vLBLyQLmtcI","""""","Functional","Clinic","PFP","Private"
"Central Region","Kampala","Kampala District","Makindye Division","Blessing Medical Centre HC II","zDNCSUyE8aM","""""","Non-Functional","HC II","PFP","Private"
"Western Region","Ankole","Mbarara District","Kamukuzi Division","Blue Clinics","UmZdQJ8467Z","""""","Functional","Clinic","PFP","Private"
"Western Region","Ankole","Isingiro District","Isingiro Town Council","Blue Cross Medical Centre HC II","kFFSlwDLlKV","""""","Functional","HC II","PFP","Private"
"Central Region","Kampala","Kampala District","Rubaga Division","Blue Sky Medical Clinic HC II","a3I7ERPzRts","""""","Functional","HC II","PFP","Private"
"Central Region","Kampala","Kampala District","Rubaga Division","Bm and Jude Medical Clinic","vGOQOgreErW","""""","Functional","HC II","PFP","Private"
"Northern Region","Acholi","Kitgum District","Central Division (Kitgum MC)","Bmj Medical Clinic","ifmbldJaNrM","""""","","Clinic","PFP","Private"
"Eastern Region","Busoga","Bugiri District","Western Division (Bugiri MC)","BMK HC II","HtHzvQHn0WJ","""""","Functional","HC II","PFP","Private"
"Central Region","South Central","Wakiso District","Wakiso Town Council","Bm Medical Clinic","hBB4YXwtRKQ","""""","","HC II","PFP","Private"
"Northern Region","Acholi","Omoro District","Bobi Subcounty","Bobi HC III","bah36yY0P6q","{""type"": ""Point"", ""coordinates"": [32.35317, 2.57074]}","Functional","HC III","GOV","MOH"
"Eastern Region","Bukedi","Pallisa District","Boliso I Subcounty","","viuhdhLb666","""""","","","",""
"Northern Region","Acholi","Pader District","Awere Subcounty","Bolo HC II","Mg3L2Y1ndt7","{""type"": ""Point"", ""coordinates"": [32.77838, 2.75801]}","Functional","HC II","GOV","MOH"
"Northern Region","West Nile","Yumbe District","Odravu Subcounty","Bolomoni Health Centre HC III","AvoeVkEx8BO","""""","Functional","HC III","GOV","MOH"
"Central Region","North Central","Luwero District","Bombo Town Council","Bombo General Military Hospital","MH0SVcF6X2F","{""type"": ""Point"", ""coordinates"": [32.53631, 0.58475]}","Functional","Hospital","GOV","UPDF"
"Central Region","North Central","Luwero District","Bombo Town Council","Bombo HC III","BQrPJsVTpud","{""type"": ""Point"", ""coordinates"": [32.52545, 0.58033]}","Functional","HC III","GOV","MOH"
"Western Region","Bunyoro","Hoima District","Kigorobya Subcounty","Bombo HC II (Kigorobya Subcounty)","s2y7hYi40k7","""""","Functional","HC II","PNFP","UMMB"
"Central Region","Kampala","Kampala District","Nakawa Division","B.O.N Dental Clinic HC II","ehn2k4R6Tf2","""""","Functional","HC II","PFP","Private"
"Northern Region","West Nile","Arua District","Arivu Subcounty","Bondo HC III","aLKBDY8KNaI","{""type"": ""Point"", ""coordinates"": [30.99598, 2.83095]}","Functional","HC III","GOV","MOH"
"Northern Region","West Nile","Arua District","Arivu Subcounty","Bondo Military HC III","pFEBNrLpegZ","{""type"": ""Point"", ""coordinates"": [30.99598, 2.83095]}","Functional","HC III","GOV","UPDF"
"Western Region","Tooro","Kamwenge District","Nkoma Subcounty","Bond Together Medical Centre HC II","MK4oguCqbYM","""""","Functional","HC II","PFP","Private"
"Central Region","South Central","Wakiso District","Nansana Division","Bonus Medical Clinic","V9M19hCZxeV","""""","Functional","HC II","PFP","Private"
"Eastern Region","Busoga","Luuka District","Irongo Subcounty","Boorch HC II","Hdf6312jYMP","""""","Functional","HC II","PNFP","NGO"
"Eastern Region","Busoga","Luuka District","Waibuga Subcounty","Boorch HC III","Yhk8Jfw22H9","""""","Functional","HC III","PFP","Private"
"Central Region","North Central","Kayunga District","Wabwoko-Kitimbwa Subcounty","Boots Clinic","a47xmIDwZrm","""""","Functional","Clinic","PFP","Private"
"Central Region","South Central","Wakiso District","Kasangati Town Council","Boots Medical Centre HC II","CLXz9RMPA60","""""","","HC II","PFP","Private"
"Central Region","South Central","Lyantonde District","Lyantonde Town Council","Born Medical Centre Clinic","IZJ0nMAejmJ","{""type"": ""Point"", ""coordinates"": [31.15152, -0.40135]}","Functional","Clinic","PFP","Private"
"Northern Region","Lango","Lira District","Adekokwok Subcounty","Boroboro HC III","aHYpuUgnA4P","{""type"": ""Point"", ""coordinates"": [32.92797, 2.19383]}","Functional","HC III","PNFP","UPMB"
"Northern Region","West Nile","Pakwach District","Panyimur Subcounty","Boro HC II","agyqaxyaM8E","{""type"": ""Point"", ""coordinates"": [31.362418, 2.331083]}","Functional","HC II","GOV","MOH"
"Western Region","Tooro","Kitagwenda District","Kabujogera Town Council","Botanic Medical Clinic","lc4Z78sRE6p","""""","Functional","HC II","PFP",""
"Central Region","North Central","Luwero District","Makulubita Subcounty","Bowa HC III","aGisGCcp7Hz","{""type"": ""Point"", ""coordinates"": [32.478064, 0.662335]}","Functional","HC III","GOV","MOH"
"Central Region","Kampala","Kampala District","Kawempe Division","Braakline Clinic HC II","TgunXTmA04M","""""","Functional","HC II","PFP","Private"
"Northern Region","Acholi","Kitgum District","Central Division (Kitgum MC)","Bregma HC II","k1Ady0jT3QS","""""","Functional","HC II","PFP","Private"
"Central Region","Kampala","Kampala District","Rubaga Division","Bright Medical Centre HC II","nKVdqRiwf1M","""""","Functional","HC II","PFP","Private"
"Eastern Region","Bugisu","Bukwo District","Riwo Subcounty","Brim HC II","enZvQfJk9cO","{""type"": ""Point"", ""coordinates"": [34.75617, 1.33159]}","Functional","HC II","GOV","MOH"
"Central Region","South Central","Wakiso District","Kyengera Town Council","B.R.M Clinic HC II","n18cGXh89Bn","""""","","HC II","PFP","Private"
"Central Region","Kampala","Kampala District","Makindye Division","Broad Medi Clinic HC II","T3VjZZLCGuQ","""""","Non-Functional","HC II","PFP","Private"
"Central Region","South Central","Wakiso District","Entebbe Division B","Brother Hermans HC III","rQPl84cEAuM","{""type"": ""Point"", ""coordinates"": [32.43693, 0.02846]}","","HC III","PNFP","CBO"
"Central Region","South Central","Wakiso District","Nansana Division","BS General Clinic HC II","bMdCNBjwsqL","""""","","HC II","PFP","Private"
"Western Region","Ankole","Mitooma District","Mitooma Town Council","B&S Medical and Diagnostic Centre HC II","wEsFPPA6BdQ","{""type"": ""Point"", ""coordinates"": [30.04928, -0.61472]}","Functional","HC II","PFP","Private"
"Central Region","Kampala","Kampala District","Rubaga Division","Bs Medical Centre HC II","gosp3opKCuD","""""","Functional","HC II","PFP","Private"
"Western Region","Ankole","Mbarara District","Bubaare Subcounty (Mbarara District)","Bubaare HC III","uwXTH0M0m4p","{""type"": ""Point"", ""coordinates"": [30.52253, -0.56544]}","Functional","HC III","GOV","MOH"
"Eastern Region","Busoga","Kamuli District","Kisozi Subcounty","Bubago HC II","iTkVbN1IERm","{""type"": ""Point"", ""coordinates"": [33.10009, 0.71978]}","Functional","HC II","GOV","MOH"
"Eastern Region","Bukedi","Butaleja District","Busolwe Subcounty","Bubalya HC III","acQwn1AZXQn","{""type"": ""Point"", ""coordinates"": [33.89926, 0.88966]}","Functional","HC III","GOV","MOH"
"Western Region","Ankole","Mitooma District","Kashenshero Town Council","Bubangizi HC III","w9SnOvetHUQ","{""type"": ""Point"", ""coordinates"": [29.98479, -0.62747]}","Functional","HC III","PNFP","UCMB"
"Western Region","Bunyoro","Kibaale District","Bubango Subcounty","Bubango HC II","iVv6I4Hy4e2","""""","Functional","HC II","PFP","Private"
"Western Region","Kigezi","Rubanda District","Bubare Subcounty","Bubare HC III","Lz5IMmqsLcZ","{""type"": ""Point"", ""coordinates"": [29.909105, -1.217465]}","Functional","HC III","GOV","MOH"
"Central Region","South Central","Kalangala District","Bubeke Subcounty","Bubeke HC III","ADhJXGIcCND","{""type"": ""Point"", ""coordinates"": [32.57862, -0.3204]}","Functional","HC III","GOV","MOH"
"Eastern Region","Busoga","Bugweri District","Igombe Subcounty","Bubenge HC II","Qbag4aljhCh","{""type"": ""Point"", ""coordinates"": [33.56286, 0.58021]}","Functional","HC II","GOV","MOH"
"Eastern Region","Bugisu","Sironko District","Buwalasi Subcounty","Bubeza HC II","Zz6XgnxXRri","{""type"": ""Point"", ""coordinates"": [34.24234, 1.17797]}","Functional","HC II","GOV","MOH"
"Central Region","North Central","Buikwe District","Ngogwe Subcounty","Bubiro HC II","maCVupfrN6c","{""type"": ""Point"", ""coordinates"": [33.04961, 0.1945]}","Functional","HC II","GOV","MOH"
"Eastern Region","Bugisu","Sironko District","Sironko Masaba Subcounty","Buboolo HC II","titT0EtXIe0","{""type"": ""Point"", ""coordinates"": [34.3929, 1.144]}","Functional","HC II","GOV","MOH"
"Western Region","Tooro","Kasese District","Ihandiro Subcounty","Bubothyo HC II","jUKfBoACXvI","""""","Functional","HC II","GOV","MOH"
"Eastern Region","Busoga","Jinja District","Butagaya Subcounty","Bubugo HC II","YKum2vHCUAD","{""type"": ""Point"", ""coordinates"": [33.07598, 0.59957]}","Functional","HC II","GOV","MOH"
"Western Region","Tooro","Bundibugyo District","Bubukwanga Subcounty","Bubukwanga HC III","tv8qMylVqWx","{""type"": ""Point"", ""coordinates"": [30.06404, 0.76856]}","Functional","HC III","GOV","MOH"
"Western Region","Tooro","Bundibugyo District","Bubukwanga Subcounty","Bubukwanga Prison HC II","owc2E5nFsSu","""""","Functional","HC II","","UPS"
"Eastern Region","Bugisu","Manafwa District","Manafwa Town Council","Bubulo HC IV","oIYkOMu6tdP","{""type"": ""Point"", ""coordinates"": [34.28036, 0.9567]}","Functional","HC IV","GOV","MOH"
"Eastern Region","Bugisu","Manafwa District","Manafwa Town Council","Bubulo Prison HC II","V9XTvkr5Vr2","""""","Functional","HC II","","UPS"
"Eastern Region","Bugisu","Manafwa District","Manafwa Town Council","Bubulo Walanga HC II","Z4327slMc14","""""","Functional","HC II","PNFP","NGO"
"Eastern Region","Bugisu","Bududa District","Bushika Subcounty","Bubungi HC III","t2Y0yh8qFhU","{""type"": ""Point"", ""coordinates"": [34.33693, 1.06902]}","Functional","HC II","GOV","MOH"
"Eastern Region","Bugisu","Namisindwa District","Bubutu Subcounty","Bubutu HC III","aCZRqIkW8s5","{""type"": ""Point"", ""coordinates"": [34.32549, 0.814789]}","Functional","HC III","GOV","MOH"
"Central Region","North Central","Luwero District","Zirobwe Subcounty","Bubuubi HC II","dFYNT2kcChE","{""type"": ""Point"", ""coordinates"": [32.684918, 0.783465]}","Functional","HC II","GOV","MOH"
"Western Region","Kigezi","Rukungiri District","Nyakagyeme Subcounty","Bucence HC II","Lz3AalNYjUp","{""type"": ""Point"", ""coordinates"": [29.892724, -0.80796]}","Functional","HC II","PNFP","NGO"
"Eastern Region","Busoga","Namayingo District","Banda Subcounty (Namayingo District)","Buchumba HC II","g3Jd6rCEYTc","""""","Functional","HC II","GOV","MOH"
"Western Region","Kigezi","Rukiga District","Kashambya Subcounty","Bucundura HC II","aP7HPJbm5x2","{""type"": ""Point"", ""coordinates"": [29.95582, -1.09612]}","Functional","HC II","GOV","MOH"
"Eastern Region","Bugisu","Sironko District","Budadiri Town Council","Budadiri HC IV","pTrRXtAg5IR","{""type"": ""Point"", ""coordinates"": [34.32841, 1.17328]}","Functional","HC IV","GOV","MOH"
"Eastern Region","Bugisu","Sironko District","Budadiri Town Council","Budadiri Ngo HC II","GP5jEcoIS6B","{""type"": ""Point"", ""coordinates"": [34.32841, 1.17342]}","Functional","HC II","PNFP","UCMB"
"Eastern Region","Bukedi","Budaka District","Budaka Town Council","Budaka HC IV","aXPAwDqt65Q","{""type"": ""Point"", ""coordinates"": [33.95179, 1.01983]}","Functional","HC IV","GOV","MOH"
